id,Y18
4752,20.9303
4753,20.591856
4754,20.338081
4755,19.971483
4756,19.732712
4757,19.54179
4758,19.634596
4759,19.402004
4760,19.201391
4761,19.213818
4762,19.087889
4763,18.705227
4764,18.643217
4765,18.819475
4766,18.964794
4767,18.40568
4768,18.767002
4769,18.622444
4770,18.760319
4771,18.714533
4772,18.153587
4773,18.019278
4774,18.653744
4775,18.574467
4776,18.465874
4777,18.27095
4778,17.751501
4779,18.093744
4780,17.805225
4781,18.521074
4782,18.474636
4783,18.394148
4784,18.435684
4785,18.46073
4786,18.942213
4787,18.716341
4788,18.657288
4789,19.226225
4790,19.139536
4791,19.092928
4792,19.578506
4793,19.539795
4794,19.869873
4795,20.821083
4796,20.888718
4797,21.805191
4798,22.649374
4799,23.301382
4800,23.917028
4801,24.59056
4802,25.033302
4803,25.361994
4804,26.23855
4805,27.134388
4806,28.548807
4807,29.165709
4808,30.067541
4809,30.020267
4810,31.125286
4811,30.443691
4812,31.583569
4813,32.905685
4814,33.177807
4815,33.62708
4816,34.66267
4817,34.799747
4818,35.740753
4819,36.380867
4820,36.836258
4821,37.331505
4822,35.97365
4823,36.59551
4824,37.100384
4825,36.157978
4826,37.48519
4827,36.979603
4828,35.97077
4829,36.452118
4830,36.383717
4831,35.39793
4832,36.671116
4833,36.73932
4834,37.025497
4835,36.69977
4836,35.76561
4837,35.350235
4838,35.537247
4839,35.533108
4840,34.610268
4841,35.173687
4842,34.930126
4843,34.39593
4844,34.30713
4845,33.806038
4846,32.887905
4847,32.30115
4848,32.196968
4849,32.080032
4850,32.732285
4851,32.867535
4852,32.860058
4853,32.924313
4854,31.867313
4855,30.906929
4856,31.4205
4857,31.36124
4858,31.309351
4859,30.995571
4860,31.175064
4861,29.422676
4862,29.210552
4863,29.108526
4864,28.880724
4865,27.675373
4866,27.740923
4867,27.049213
4868,26.590883
4869,25.883152
4870,25.373156
4871,25.073872
4872,24.940407
4873,24.752705
4874,24.436544
4875,24.490116
4876,24.36596
4877,24.403772
4878,24.029987
4879,23.864893
4880,23.554985
4881,23.250607
4882,23.185165
4883,22.986322
4884,22.585743
4885,23.328098
4886,24.104847
4887,24.279219
4888,24.54506
4889,23.255735
4890,23.182903
4891,22.820381
4892,22.534313
4893,22.307335
4894,22.544897
4895,21.61163
4896,21.661041
4897,21.838062
4898,21.047625
4899,20.1438
4900,19.258636
4901,19.752882
4902,19.337658
4903,18.959448
4904,18.694122
4905,19.142406
4906,18.96211
4907,18.982134
4908,19.003305
4909,18.920385
4910,18.818188
4911,18.315771
4912,17.947655
4913,17.84279
4914,17.953289
4915,18.160582
4916,18.308207
4917,18.432028
4918,18.67026
4919,18.827078
4920,18.55625
4921,18.849648
4922,18.399591
4923,18.242146
4924,17.93915
4925,17.65735
4926,17.435484
4927,17.96803
4928,17.858686
4929,18.361431
4930,18.38237
4931,18.976345
4932,19.014788
4933,19.064793
4934,19.014439
4935,19.381456
4936,19.575489
4937,19.998482
4938,20.170712
4939,20.760696
4940,20.53263
4941,21.01004
4942,22.014675
4943,22.966091
4944,25.229744
4945,26.656166
4946,27.636265
4947,28.253939
4948,28.870958
4949,29.380836
4950,29.697338
4951,30.42589
4952,30.796705
4953,30.598028
4954,30.691679
4955,30.794153
4956,31.11407
4957,31.471157
4958,31.43582
4959,31.369335
4960,31.853964
4961,31.441687
4962,33.052563
4963,33.607098
4964,33.909912
4965,34.500057
4966,34.94534
4967,35.934578
4968,35.754036
4969,35.48565
4970,35.26527
4971,34.30181
4972,34.264843
4973,33.167152
4974,33.191612
4975,32.33258
4976,33.38015
4977,32.26866
4978,31.394741
4979,32.472836
4980,33.3305
4981,32.58132
4982,33.099373
4983,32.599094
4984,32.855904
4985,32.44945
4986,32.084984
4987,32.267555
4988,32.34442
4989,32.157738
4990,31.875319
4991,30.997103
4992,30.89967
4993,30.45475
4994,30.553589
4995,30.557583
4996,31.048248
4997,30.528866
4998,29.853138
4999,30.09377
5000,30.008469
5001,29.99233
5002,29.864508
5003,29.845903
5004,29.705038
5005,29.177057
5006,29.201061
5007,29.087204
5008,28.587347
5009,28.183226
5010,27.909462
5011,27.62855
5012,27.227457
5013,26.933308
5014,26.64311
5015,26.43858
5016,26.165052
5017,25.615524
5018,25.094717
5019,24.699577
5020,24.399399
5021,24.053743
5022,23.854912
5023,24.09188
5024,23.67999
5025,23.401878
5026,24.058975
5027,23.807703
5028,23.318926
5029,24.074461
5030,23.402496
5031,23.79999
5032,23.120773
5033,23.906864
5034,22.977709
5035,23.010397
5036,22.623674
5037,22.489712
5038,22.189457
5039,21.543783
5040,21.713552
5041,22.24307
5042,21.94665
5043,22.229322
5044,21.529556
5045,21.12561
5046,21.082691
5047,21.866617
5048,21.854269
5049,21.798555
5050,22.690935
5051,22.545816
5052,22.274118
5053,21.795979
5054,21.856594
5055,21.56018
5056,21.066315
5057,20.842333
5058,20.356667
5059,20.54519
5060,20.576761
5061,20.550875
5062,20.572199
5063,20.23955
5064,19.859076
5065,19.936274
5066,19.801287
5067,19.615938
5068,19.342413
5069,18.915512
5070,18.84062
5071,18.7517
5072,19.011438
5073,19.118456
5074,19.274105
5075,19.235056
5076,19.17628
5077,19.427969
5078,20.106373
5079,21.07018
5080,21.754372
5081,22.680096
5082,23.83423
5083,24.683395
5084,25.483942
5085,26.30961
5086,26.577078
5087,27.432056
5088,27.479162
5089,28.557281
5090,28.690378
5091,29.887264
5092,30.91258
5093,31.374094
5094,32.49126
5095,33.214527
5096,33.77183
5097,34.270214
5098,34.336143
5099,33.740204
5100,33.552444
5101,34.412464
5102,34.690517
5103,33.93924
5104,35.32709
5105,35.647015
5106,35.954002
5107,36.84437
5108,36.881313
5109,36.887646
5110,37.057056
5111,37.08589
5112,37.337406
5113,38.75876
5114,39.37947
5115,38.119015
5116,37.47997
5117,36.105442
5118,36.42889
5119,37.246117
5120,36.749054
5121,37.192318
5122,36.60494
5123,36.95995
5124,36.446556
5125,36.30277
5126,36.688583
5127,36.265896
5128,36.338566
5129,36.662926
5130,36.42674
5131,36.316296
5132,36.664745
5133,36.29693
5134,36.8112
5135,35.131256
5136,34.962383
5137,35.179047
5138,34.828648
5139,34.395596
5140,33.823208
5141,34.074875
5142,33.21023
5143,32.940327
5144,32.908283
5145,32.583702
5146,32.64063
5147,32.267162
5148,31.680069
5149,31.000294
5150,30.616652
5151,31.42826
5152,30.221357
5153,30.164986
5154,29.452984
5155,29.232462
5156,28.739717
5157,28.422606
5158,27.850544
5159,27.648603
5160,27.163542
5161,27.172623
5162,26.980644
5163,26.711403
5164,26.72956
5165,26.892351
5166,27.4224
5167,25.788021
5168,26.16446
5169,25.886534
5170,25.65814
5171,25.801952
5172,25.46962
5173,25.40253
5174,25.969883
5175,25.213774
5176,25.127867
5177,25.40465
5178,25.148655
5179,24.72391
5180,24.50173
5181,24.087097
5182,23.948578
5183,23.579771
5184,23.074804
5185,24.632946
5186,23.338245
5187,24.401745
5188,23.496666
5189,22.681849
5190,22.400635
5191,23.062704
5192,23.041441
5193,22.831486
5194,22.88154
5195,22.477173
5196,22.902178
5197,23.248615
5198,23.43595
5199,23.215624
5200,22.817411
5201,23.344137
5202,22.496471
5203,22.196283
5204,21.849323
5205,21.513668
5206,21.927183
5207,21.967701
5208,21.92355
5209,21.474062
5210,20.85354
5211,20.991114
5212,20.894487
5213,20.659544
5214,20.982056
5215,21.201477
5216,21.252361
5217,21.28058
5218,21.277548
5219,21.054888
5220,21.750986
5221,22.171568
5222,22.162037
5223,21.914497
5224,22.20641
5225,22.368298
5226,22.895512
5227,23.015837
5228,23.773243
5229,24.034405
5230,24.808897
5231,24.722603
5232,24.957424
5233,25.097792
5234,25.108418
5235,25.787241
5236,25.554832
5237,26.164263
5238,25.632616
5239,24.716993
5240,23.689238
5241,23.9846
5242,23.424479
5243,23.133348
5244,22.6821
5245,21.359554
5246,20.516493
5247,20.273375
5248,20.585356
5249,20.625076
5250,19.691788
5251,20.474672
5252,21.416462
5253,21.764187
5254,22.02464
5255,22.18741
5256,21.875423
5257,21.183125
5258,22.5916
5259,21.250206
5260,21.13153
5261,21.54302
5262,21.92332
5263,21.789219
5264,21.920584
5265,21.888832
5266,21.086054
5267,20.93432
5268,21.229725
5269,21.21649
5270,21.119274
5271,21.236994
5272,21.163616
5273,21.661686
5274,21.789215
5275,22.027174
5276,22.039288
5277,21.62442
5278,22.398714
5279,22.292036
5280,23.580135
5281,24.762278
5282,24.686205
5283,25.787926
5284,25.979473
5285,26.34255
5286,26.79895
5287,26.345427
5288,26.163704
5289,26.43671
5290,26.424833
5291,26.643707
5292,26.587933
5293,26.85676
5294,26.850443
5295,26.740173
5296,26.34336
5297,26.033405
5298,25.864187
5299,25.679665
5300,25.323135
5301,25.21539
5302,25.066221
5303,24.77073
5304,24.112755
5305,23.578358
5306,23.132206
5307,22.421167
5308,22.481682
5309,21.867287
5310,22.16912
5311,21.8276
5312,21.65243
5313,21.761787
5314,21.882765
5315,22.036303
5316,21.888348
5317,22.062181
5318,22.215237
5319,22.386276
5320,21.83699
5321,22.128653
5322,22.319555
5323,22.134804
5324,22.310896
5325,22.21751
5326,22.253551
5327,22.282135
5328,21.851957
5329,21.579187
5330,21.10162
5331,21.317698
5332,21.07866
5333,20.94298
5334,20.806149
5335,20.788153
5336,20.763874
5337,20.473524
5338,20.920582
5339,21.333454
